mag_1,mag_2,mag_3,mag_4,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,avg_mag,max_mag,min_mag,range_mag,std_mag,left_right_diff,top_bottom_diff,diag1_diff,diag2_diff,strongest_sensor,rssi,label
2102.5712829771073,3413.126719007075,3034.085859035634,1609.949688654897,691,1765,-910,1091,-2728,1737,-52,-1957,2318,-33,-332,1575,2539.933387418678,3413.126719007075,1609.949688654897,1803.1770303521776,718.1240404525378,56.790367175384745,435.83122714682577,492.6215943222103,379.040859971441,2,-46,batteries
1786.4839769782432,3452.197705810025,3020.9121139152658,1083.8528497909667,620,1570,-585,1172,-2802,1641,-470,-2041,2177,56,-376,1015,2335.8616616236254,3452.197705810025,1083.8528497909667,2368.344856019058,946.6839745960194,135.6727676462583,566.9583595410181,702.6311271872764,431.28559189475936,2,-45,batteries
580.9345918431782,2834.3422517402514,3034.306675337877,1342.846975645401,-526,245,28,2086,-1732,826,1528,-2508,763,870,-303,977,1948.107623641677,3034.306675337877,580.9345918431782,2453.372083494699,1024.7856784270448,-280.97398010229836,-480.9384036999245,-761.9123838022228,-199.96442359762568,3,-63,Knife
4411.967021635588,3672.458577029835,2060.4392735530937,2965.902729355769,3438,2235,-1628,1192,-3162,1438,703,-1551,1160,-1825,-1423,1855,3277.691900393572,4411.967021635588,2060.4392735530937,2351.5277480824943,869.0997100991225,-82.97750559846145,1529.0417978782798,1446.0642922798188,1612.0193034767412,1,-72,keys
830.6653959326824,2843.4523030991745,3301.466795229054,1742.314265567495,-521,242,600,2120,-1686,865,1383,-2695,1313,-1725,3,-245,2179.4746899571014,3301.466795229054,830.6653959326824,2470.8013992963715,963.084667013444,-226.8171887524668,-684.8316808823463,-911.6488696348129,-458.0144921298793,3,-65,Knife
2131.9373818196445,3494.215791848008,3383.7708255731504,1143.2086423746105,822,1852,-663,1246,-2818,1648,-652,-2095,2576,-401,-266,1037,2538.283160403854,3494.215791848008,1143.2086423746105,2351.0071494733975,966.9548063949144,439.1418865850883,549.5868528599458,988.728739445034,110.4449662748575,2,-42,batteries
5573.371152184286,1929.9588078505717,4312.464492607446,2173.674078605162,-431,87,-5556,-153,-1646,996,195,-2690,-3365,2125,-247,385,3497.3671328118667,5573.371152184286,1929.9588078505717,3643.4123443337144,1515.182212912791,2891.1013791679993,508.5956944111249,3399.697073579124,-2382.5056847568744,1,-57,screwdriver
7006.0526689427625,2006.5216171275104,5984.355604407211,2612.376121464901,1830,-4207,-5295,-131,-1538,1282,-1468,-5428,-2048,1566,-2037,-472,4402.326502985597,7006.0526689427625,2006.5216171275104,4999.531051815252,2134.5965335656783,4185.755267378781,207.92128009908083,4393.676547477861,-3977.833987279701,1,-75,magnet
2146.537677284049,2058.3007554776827,2204.493139023118,15131.451318363352,-1066,822,-1672,197,-1577,1308,706,-1927,805,14887,145,2705,5385.19572253705,15131.451318363352,2058.3007554776827,13073.150562885668,5627.244066145404,-6419.360628766934,-6565.55301231237,-12984.913641079303,-146.1923835454354,4,-62,scissors
15509.721112902063,1157.7897045664208,9919.286315053114,5892.157075299334,-1146,-12297,-9382,-662,-388,867,1500,-7660,-6121,4357,-3221,-2315,8119.738551955234,15509.721112902063,1157.7897045664208,14351.931408335642,5274.49204643366,9189.53032404471,428.0337135580175,9617.56403760273,-8761.496610486693,1,-74,magnet
575.5154211661056,2847.386521004832,3090.9707213107017,3841.731120211304,-537,207,0,2096,-1737,835,1318,-2620,976,-2452,-437,2925,2588.9009459232357,3841.731120211304,575.5154211661056,3266.215699045198,1218.8307479702728,-1511.3157493696642,-1754.899949675534,-3266.215699045198,-243.58420030586967,4,-64,Knife
586.0187710304167,2561.972287125682,2724.0868194681316,878.548803425285,207,515,-188,862,-2097,1193,42,-2161,1658,230,-208,822,1687.6566702623788,2724.0868194681316,586.0187710304167,2138.068048437715,962.6625646190364,-65.2077500262094,-227.32228236865876,-292.5300323948683,-162.11453234244937,3,-65,usb
1774.7273029961532,3449.844199380604,3006.675572787992,1061.933142904957,668,1532,-597,1170,-2797,1646,-515,-2072,2117,61,-366,995,2323.2950545174263,3449.844199380604,1061.933142904957,2387.911056475647,952.3762857478488,134.81276674929222,577.9813933419039,712.7941600911961,443.1686265926119,2,-44,batteries
925.0994541129078,2783.737595392209,3528.447392267596,1039.516714632333,-825,260,328,2071,-1615,923,1881,-2776,1098,-883,-291,465,2069.2002891012617,3528.447392267596,925.0994541129078,2603.347938154689,1119.0599463760889,315.1462681779806,-429.5635286974066,-114.41726051942555,-744.7097968753869,3,-63,Knife
6315.30949360362,1880.056914032126,3778.3500367223783,3988.1305144139906,-1303,890,-6115,-167,-1450,1185,400,-1540,-3427,3198,-891,2210,3990.461739693029,6315.30949360362,1880.056914032126,4435.252579571494,1573.5090098395017,2112.736050939941,214.44292824968807,2327.178979189629,-1898.2931226902529,1,-61,screwdriver
5208.085828785851,3896.235875816555,7402.223044464413,2813.995202554546,1778,995,4793,1345,-3550,877,-515,-2900,6791,-2048,-296,1907,4830.134987905341,7402.223044464413,2813.995202554546,4588.2278419098675,1709.9320888891086,2950.0388974395814,-555.9482712082763,2394.090626231305,-3505.9871686478577,3,-57,screwdriver
516.1530780689001,2554.0285824555685,2149.1012074818627,884.2047274245937,105,485,-142,857,-2063,1238,18,-1866,1066,197,-160,847,1525.8718988577311,2554.0285824555685,516.1530780689001,2037.8755043866688,848.0550974295844,-386.4895121646998,18.437862809005992,-368.0516493556936,404.9273749737058,2,-64,usb
3403.4481044963795,4493.7158343624715,8139.122372836029,3612.052048351463,2017,407,2711,1347,-4217,772,-1883,-3110,7282,-1230,-546,3352,4912.0845900115855,8139.122372836029,3403.4481044963795,4735.67426833965,1907.542523921999,1718.4012973092372,-1927.0052411643203,-208.60394385508337,-3645.4065384735577,3,-61,screwdriver
2122.341395723129,3462.6455204077706,3892.6465290339424,937.669984589461,898,1827,-600,1268,-2767,1651,-542,-2393,3022,-421,-172,820,2603.825857438576,3892.6465290339424,937.669984589461,2954.9765444444815,1162.5975890798438,807.3362098799198,377.335201253748,1184.6714111336682,-430.0010086261718,3,-44,batteries
2732.4613446488133,3743.7166025221513,6430.384280896438,1850.4348137667537,2191,1342,930,1411,-3078,1597,-1743,-6188,-143,-1235,-222,1360,3689.249260458539,6430.384280896438,1850.4348137667537,4579.949467129684,1718.536410497643,1784.347104628173,-902.320573746113,882.0265308820597,-2686.667678374287,3,-73,keys
1786.1842010274304,3464.543981536387,3040.108386225728,1072.5432392216176,627,1565,-590,1180,-2808,1651,-457,-2051,2197,70,-368,1005,2340.8449520027907,3464.543981536387,1072.5432392216176,2392.0007423147695,957.5889831671273,144.60268324757635,569.038278558236,713.6409618058128,424.4355953106592,2,-46,batteries
3762.3198960216023,3760.9012217818217,18185.398345925776,3106.011912404716,2761,2097,-1461,1223,-3243,1460,-16657,7170,-1358,-1727,-1466,2125,7203.657844033479,18185.398345925776,3106.011912404716,15079.38643352106,6345.957505853227,7540.402553880421,-6884.0945702635345,656.3079836168863,-14424.497124143954,3,-68,keys
1822.2702873064688,3497.0929355680555,3367.045143742507,860.3284256608055,595,1610,-612,1253,-2861,1573,-672,-2153,2500,-26,-335,792,2386.6841980694594,3497.0929355680555,860.3284256608055,2636.76450990725,1100.2772553704556,415.947034910057,545.9948267356058,961.9418616456632,130.0477918255483,2,-46,batteries
1223.0425176583192,3473.7106960712777,2647.2389389701866,5542.387301515476,995,532,472,1736,-2713,1301,-893,-2420,595,3742,1998,3567,3221.594863553815,5542.387301515476,1223.0425176583192,4319.3447838571565,1563.1487565563543,-2572.908270479124,-1746.436513378033,-4319.3447838571565,826.471757101091,4,-67,scissors
4871.779243767107,3966.983992909474,5542.130817654885,13284.359600673268,2583,750,4062,1088,-3743,737,-1466,-2783,4563,-6031,1343,11760,6916.313413751183,13284.359600673268,3966.983992909474,9317.375607763794,3718.83900065134,-3418.716766080376,-4993.863590825787,-8412.58035690616,-1575.14682474541,4,-62,screwdriver
990.6089036547168,2811.0407325401743,3063.617796005239,1396.6023055974094,-916,235,295,2027,-1686,975,1588,-2417,1011,-855,-393,1032,2065.467434449385,3063.617796005239,990.6089036547168,2073.0088923505223,888.0998126500621,-76.70816923881398,-329.2852327038786,-405.9934019426927,-252.57706346506484,3,-59,Knife
531.6135814668395,2550.024509686132,2423.9830857495685,905.7908147028209,132,495,-142,840,-2071,1228,211,-1983,1378,212,-123,872,1602.8529979013404,2550.024509686132,531.6135814668395,2018.4109282192928,895.1030762536155,-250.1093285862723,-124.06790464970868,-374.17723323598136,126.04142393656366,2,-64,usb
1813.928333755223,3372.226712426079,3050.6055136644595,1000.5463507504288,636,1612,-536,1137,-2662,1730,-483,-1973,2276,23,-342,940,2309.3267276490474,3372.226712426079,1000.5463507504288,2371.68036167565,953.6215522762382,245.8803921215872,567.501590883207,813.3819830047944,321.6211987616193,2,-45,batteries
1269.4128564025182,1775.2988480816407,3881.784383502,1029.1146680521078,-948,812,-231,571,-598,1571,-3425,340,1795,702,152,-737,1988.9026890095668,3881.784383502,1029.1146680521078,2852.669715449892,1125.5539052619897,1173.3918618853847,-933.0936735349746,240.29818835041033,-2106.485535420359,3,-63,scissors
3518.9276775745193,2881.917590771811,4399.561114474943,1474.2194544910876,-648,942,3328,1000,-1732,2075,753,-2148,3765,-857,785,-907,3068.65645932809,4399.561114474943,1474.2194544910876,2925.341659983855,1066.6714745524928,1781.175873393282,263.53234969014966,2044.7082230834317,-1517.643523703132,3,-47,keys
396.46815761168006,2555.9360320634005,2670.640934307718,984.9695426763204,93,307,-233,842,-2081,1222,67,-2135,1603,186,-240,937,1652.0036666647798,2670.640934307718,396.46815761168006,2274.172776696038,984.3804576108384,-236.89824141016152,-351.603143654479,-588.5013850646405,-114.70490224431752,3,-64,usb
2127.685127080603,2783.6402425600904,2978.592620685145,1078.5439258555953,-2012,550,420,2010,-1653,988,1702,-2251,953,-122,-738,777,2242.1154790453584,2978.592620685145,1078.5439258555953,1900.0486948295495,742.0648075641393,622.0467896750308,427.0944115499767,1049.1412012250075,-194.95237812505457,3,-62,Knife
3581.762834136286,2901.9722603774144,4358.10715792992,1353.8364007515827,-842,830,3381,975,-1793,2063,843,-2143,3700,-485,808,-972,3048.919663298801,4358.10715792992,1353.8364007515827,3004.2707571783367,1105.9831087091377,1842.030665468604,385.895767916099,2227.926433384703,-1456.1348975525052,3,-45,keys
6238.275563006174,3631.282555792099,5329.838271467531,2181.784132310069,1637,2112,5637,1248,-3290,897,-136,-2382,4766,-1857,87,1142,4345.295130643968,6238.275563006174,2181.784132310069,4056.491430696105,1560.712490371567,2877.5235731857683,1178.9678575103371,4056.491430696105,-1698.5557156754317,1,-60,screwdriver
963.0856659716206,2811.159547233134,3048.1589525482427,1390.8741855394398,-901,217,262,2015,-1693,988,1552,-2420,1013,-855,-391,1025,2053.3195878231095,3048.1589525482427,963.0856659716206,2085.073286576622,893.2343870798619,-95.39455712635528,-332.3939624414638,-427.7885195678192,-236.99940531510856,3,-59,Knife
1033.280697584156,2748.848486184715,3811.939532573937,1340.815050631518,-1012,207,-26,1992,-1610,998,3113,-1915,1083,-791,-410,1002,2233.7209417435815,3811.939532573937,1033.280697584156,2778.65883498978,1117.415323152573,377.77834667092975,-685.3126997182917,-307.53435304736195,-1063.0910463892214,3,-61,Knife
1754.4851096546815,3400.1161744858073,3073.579346625039,1314.5862466951342,653,1572,-425,1118,-2721,1705,-340,-2043,2271,-8,-312,1277,2385.6917193651657,3400.1161744858073,1314.5862466951342,2085.529927790674,872.9168174302068,56.68101754938971,383.21784541015813,439.8988629595474,326.5368278607684,2,-42,batteries
7532.7244075433955,3559.3944709739603,5608.271123973947,1888.172926402664,1753,1912,7072,1248,-3216,877,86,-2597,4970,-1582,-88,1027,4647.140732223492,7532.7244075433955,1888.172926402664,5644.551481140732,2123.9974140542895,3846.7140670703593,1797.8374140703727,5644.551481140732,-2048.876652999987,1,-62,screwdriver
2473.1730630912184,2284.1867261675434,3815.017431152838,8482.403668772195,-1247,1590,1426,1140,-1490,1303,2847,-1705,1882,472,-5152,-6722,4263.695222295948,8482.403668772195,2284.1867261675434,6198.216942604651,2506.154235351587,-2239.199950347841,-3770.0306553331343,-6009.230605680976,-1530.8307049852947,4,-64,scissors
6677.606157898203,2034.9383283038335,2332.7918895606613,859.0162978663443,-4018,4190,3300,438,-1217,1571,1975,-1238,93,612,-31,602,2976.0881684072606,6677.606157898203,859.0162978663443,5818.589860031858,2206.967481379442,3058.221710644343,2760.368149387515,5818.589860031858,-297.8535612568278,1,-65,scissors
617.5378530908044,2509.781066148998,2822.387287386336,947.6249258013426,-303,470,-262,1350,-1890,951,346,-2315,1577,-470,-298,767,1724.3327831068702,2822.387287386336,617.5378530908044,2204.849434295532,955.369406618673,-8.740425736600173,-321.3466469739383,-330.0870727105381,-312.6062212373381,3,-62,empty
501.22749326029594,2536.9247131123147,1964.209255654804,885.7956875036139,91,472,-142,845,-2051,1231,13,-1755,882,200,-165,847,1472.0392873827573,2536.9247131123147,501.22749326029594,2035.6972198520189,815.8384254260549,-478.6418258504143,94.07363160709632,-384.5681942433179,572.7154574575106,2,-65,usb
626.422381464775,2504.8530895044523,2833.590831436324,944.4437516337327,-311,472,-270,1347,-1898,926,327,-2328,1582,-470,-293,765,1727.327513509821,2833.590831436324,626.422381464775,2207.1684499715493,955.6756306780971,5.358185881456848,-323.379556050415,-318.0213701689579,-328.7377419318718,3,-65,empty
8318.522044209536,2305.1989068191056,2759.366050381863,869.1472832610133,1713,3312,-7436,17,-1982,1177,-1951,-996,-1678,837,-232,32,3563.058571167879,8318.522044209536,869.1472832610133,7449.374760948523,2832.830893016226,3951.77095225564,3497.6038086928825,7449.374760948523,-454.1671435627573,1,-58,screwdriver
